Date,equity
2007-01-03,1.0
2007-01-04,1.0
2007-01-05,1.0
2007-01-08,1.0
2007-01-09,1.0
2007-01-10,1.0
2007-01-11,1.0
2007-01-12,1.0
2007-01-16,1.0
2007-01-17,1.0
2007-01-18,1.0
2007-01-19,1.0
2007-01-22,1.0
2007-01-23,1.0
2007-01-24,1.0
2007-01-25,1.0
2007-01-26,1.0
2007-01-29,1.0
2007-01-30,1.0
2007-01-31,1.0
2007-02-01,1.0
2007-02-02,1.0
2007-02-05,1.0
2007-02-06,1.0
2007-02-07,1.0
2007-02-08,1.0
2007-02-09,1.0
2007-02-12,1.0
2007-02-13,1.0
2007-02-14,1.0
2007-02-15,1.0
2007-02-16,1.0
2007-02-20,1.0
2007-02-21,1.0
2007-02-22,1.0
2007-02-23,1.0
2007-02-26,1.0
2007-02-27,1.0
2007-02-28,1.0
2007-03-01,1.0
2007-03-02,1.0
2007-03-05,1.0
2007-03-06,1.0
2007-03-07,1.0
2007-03-08,1.0
2007-03-09,1.0
2007-03-12,1.0
2007-03-13,1.0
2007-03-14,1.0
2007-03-15,1.0
2007-03-16,1.0
2007-03-19,1.0
2007-03-20,1.0
2007-03-21,1.0
2007-03-22,1.0
2007-03-23,1.0
2007-03-26,1.0
2007-03-27,1.0
2007-03-28,1.0
2007-03-29,1.0
2007-03-30,1.0
2007-04-02,1.0
2007-04-03,1.0
2007-04-04,1.0
2007-04-05,1.0
2007-04-09,1.002787232437337
2007-04-10,1.0018681330317973
2007-04-11,1.0022518234236277
2007-04-12,1.0020169045818577
2007-04-13,1.0027316954900234
2007-04-16,1.0022473746909906
2007-04-17,1.0035800878157604
2007-04-18,1.0054114633129791
2007-04-19,1.0049648665374356
2007-04-20,1.004167010460624
2007-04-23,1.0055904979433867
2007-04-24,1.0065125841684388
2007-04-25,1.0055988409743781
2007-04-26,1.0057615686639052
2007-04-27,1.0057021752850646
2007-04-30,1.002186256035511
2007-05-01,1.0024138560720213
2007-05-02,1.002261876560569
2007-05-03,1.001885877532034
2007-05-04,1.002788514491212
2007-05-07,1.0036080061225763
2007-05-08,1.0030128562965759
2007-05-09,1.0012076781953043
2007-05-10,1.0011133070201543
2007-05-11,0.9996956893330687
2007-05-14,0.9998322222140036
2007-05-15,0.9998545107163664
2007-05-16,0.9998099075772628
2007-05-17,1.0015210629948053
2007-05-18,1.0035160410324955
2007-05-21,1.0026548671170774
2007-05-22,1.0040190338135935
2007-05-23,1.0050455449139402
2007-05-24,1.0044812918893016
2007-05-25,1.0049553112803904
2007-05-29,1.005697168033474
2007-05-30,1.0050084508480779
2007-05-31,1.0054782035814436
2007-06-01,1.0076480791105007
2007-06-04,1.0069943618488457
2007-06-05,1.0085370741518764
2007-06-06,1.008852138908936
2007-06-07,1.0135514699337902
2007-06-08,1.01347322003973
2007-06-11,1.0152874282083422
2007-06-12,1.0181732304241649
2007-06-13,1.0168152729304338
2007-06-14,1.0177290577662172
2007-06-15,1.0173089391187298
2007-06-18,1.0179194720121956
2007-06-19,1.0157395676209213
2007-06-20,1.0159683952275456
2007-06-21,1.0167772329296139
2007-06-22,1.0157521524647442
2007-06-25,1.0128783096777527
2007-06-26,1.0128824151525073
2007-06-27,1.012437625399845
2007-06-28,1.0133818329769178
2007-06-29,1.0121934715339302
2007-07-02,1.012575978018185
2007-07-03,1.0124519581495866
2007-07-05,1.0121215627119462
2007-07-06,1.0134013349818827
2007-07-09,1.0130140551535407
2007-07-10,1.0104363780668817
2007-07-11,1.0101743024137666
2007-07-12,1.0101817841033924
2007-07-13,1.0104648208143256
2007-07-16,1.010922569487684
2007-07-17,1.010949411643752
2007-07-18,1.011145511917138
2007-07-19,1.011252286519547
2007-07-20,1.0127119115494023
2007-07-23,1.0123591181323184
2007-07-24,1.0133863066505606
2007-07-25,1.0140237536813754
2007-07-26,1.016207560053606
2007-07-27,1.0171579212548012
2007-07-30,1.0158734938735372
2007-07-31,1.0179690926002893
2007-08-01,1.0170568799659183
2007-08-02,1.017622104847655
2007-08-03,1.0198195198078306
2007-08-06,1.0186563957588854
2007-08-07,1.0184588179868266
2007-08-08,1.0148559472185092
2007-08-09,1.0164019165844203
2007-08-10,1.0166502878073156
2007-08-13,1.0170466260191167
2007-08-14,1.0174571928041327
2007-08-15,1.018072626824168
2007-08-16,1.0198677322222265
2007-08-17,1.020481132369915
2007-08-20,1.0215709266199389
2007-08-21,1.0222146671822434
2007-08-22,1.0214557533317128
2007-08-23,1.0209894918418632
2007-08-24,1.0205404220609857
2007-08-27,1.0222175753229437
2007-08-28,1.0248916610336745
2007-08-29,1.0235745050022926
2007-08-30,1.0249335203014636
2007-08-31,1.0249650629670133
2007-09-04,1.0247183926456882
2007-09-05,1.027036036831017
2007-09-06,1.0258109524764554
2007-09-07,1.031323797740197
2007-09-10,1.0334838969574809
2007-09-11,1.0320891610303546
2007-09-12,1.032130371754535
2007-09-13,1.028662904753704
2007-09-14,1.0294626074448543
2007-09-17,1.0308526882059446
2007-09-18,1.0284651015864976
2007-09-19,1.027328328692798
2007-09-20,1.0252331264005172
2007-09-21,1.0256771378546485
2007-09-24,1.0266277246404256
2007-09-25,1.0269978799868498
2007-09-26,1.0260120119326706
2007-09-27,1.0266482263738106
2007-09-28,1.0262985099588176
