Date,SHY,IEF,TLT,BIL,TBF
2007-01-03,20000.0,20000.0,20000.0,20000.0,20000.0
2007-01-04,20019.982525921605,20072.578392320025,20121.268549024444,20000.0,20000.0
2007-01-05,20007.493937918476,20007.254291901,20033.678062645173,20000.0,20000.0
2007-01-08,19995.021052247284,20021.773222085092,20069.611523356256,20000.0,20000.0
2007-01-09,20002.50059636148,20016.929637211502,20069.611523356256,20000.0,20000.0
2007-01-10,19997.505946276822,19983.073318897666,19979.78704607916,20000.0,20000.0
2007-01-11,19982.49975105261,19929.855963580732,19863.00788601845,20000.0,20000.0
2007-01-12,19970.016397160125,19888.737963092975,19770.944830593227,20000.0,20000.0
2007-01-16,19990.005465720038,19927.433432116643,19813.607787499608,20000.0,20000.0
2007-01-17,19982.50760221858,19888.723182547128,19752.973512987388,20000.0,20000.0
2007-01-18,19990.005465720034,19915.351813942485,19813.600142082436,20000.0,20000.0
2007-01-19,19987.499635247907,19883.882553782707,19759.713712766723,20000.0,20000.0
2007-01-22,19995.005349915336,19920.19096465232,19806.876762220876,20000.0,20000.0
2007-01-23,19985.01081563538,19862.131502516382,19676.629435268966,20000.0,20000.0
2007-01-24,19995.002732860015,19864.542209543793,19674.37250811962,20000.0,20000.0
2007-01-25,19980.02139966137,19787.135012896022,19532.915470509295,20000.0,20000.0
2007-01-26,19982.5102192739,19784.728740032366,19517.181201968142,20000.0,20000.0
2007-01-29,19985.02520943966,19770.196507357014,19474.50907056116,20000.0,20000.0
2007-01-30,19990.010699830684,19789.5398077051,19496.980480714778,20000.0,20000.0
2007-01-31,20012.488588003125,19862.127068352635,19660.89363764438,20000.0,20000.0
2007-02-01,20010.00761955657,19847.80471942829,19637.22495516154,20000.0,20000.0
2007-02-02,20017.500248947385,19864.793478823176,19662.029746636228,20000.0,20000.0
2007-02-05,20012.49905622442,19886.65242807417,19689.085348926517,20000.0,20000.0
2007-02-06,20035.06984986084,19942.491852224106,19797.326107088902,20000.0,20000.0
2007-02-07,20045.103639970646,19986.202360453175,19855.93740421726,20000.0,20000.0
2007-02-08,20052.614588748726,19991.063681981777,19871.72519067862,20000.0,20000.0
2007-02-09,20032.571870554686,19930.346677702808,19758.97363638442,20000.0,20000.0
2007-02-12,20032.560093805732,19903.653011905728,19713.888611317772,20000.0,20000.0
2007-02-13,20030.060805971912,19889.069047319917,19671.037577148953,20000.0,20000.0
2007-02-14,20075.195850606447,20003.188163738887,19858.200447700343,20000.0,20000.0
2007-02-15,20085.236183354566,20034.778624374594,19916.830093829914,20000.0,20000.0
2007-02-16,20090.253078409467,20056.61688086141,19986.721439454683,20000.0,20000.0
2007-02-20,20087.75771615863,20080.90131768566,20031.814109938503,20000.0,20000.0
2007-02-21,20100.286868519273,20078.459571511976,19998.00454611796,20000.0,20000.0
2007-02-22,20087.743322354356,20027.475556672307,19889.76072978871,20000.0,20000.0
2007-02-23,20110.306264824805,20107.614198192336,20031.81869718881,20000.0,20000.0
2007-02-26,20125.372652321457,20170.72712895287,20164.84436874123,20000.0,20000.0
2007-02-27,20173.033155343044,20340.71375255888,20419.661535852694,20000.0,20000.0
2007-02-28,20157.97200195704,20270.29479798689,20327.202447817934,20000.0,20000.0
2007-03-01,20185.916918700008,20288.563552652,20314.30921629811,20000.0,20000.0
